{'id': 500001, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500252, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500253, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500254, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500255, 'value': 'DIRECT', 'test_case': 'EXIST2024'}
{'id': 500256, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500257, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500258, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500259, 'value': 'DIRECT', 'test_case': 'EXIST2024'}
{'id': 500260, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500261, 'value': 'DIRECT', 'test_case': 'EXIST2024'}
{'id': 500262, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500263, 'value': 'DIRECT', 'test_case': 'EXIST2024'}
{'id': 500264, 'value': 'DIRECT', 'test_case': 'EXIST2024'}
{'id': 500265, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500266, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500267, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500268, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500269, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500270, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500271, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500272, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500273, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500274, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500275, 'value': 'DIRECT', 'test_case': 'EXIST2024'}
{'id': 500276, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500277, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500278, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500279, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500280, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500281, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500282, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500283, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500284, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500285, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500286, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500287, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500288, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500289, 'value': 'DIRECT', 'test_case': 'EXIST2024'}
{'id': 500290, 'value': 'DIRECT', 'test_case': 'EXIST2024'}
{'id': 500291, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500292, 'value': 'DIRECT', 'test_case': 'EXIST2024'}
{'id': 500293, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500294, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500295, 'value': 'DIRECT', 'test_case': 'EXIST2024'}
{'id': 500296, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500297, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500298, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500299, 'value': 'DIRECT', 'test_case': 'EXIST2024'}
{'id': 500300, 'value': 'DIRECT', 'test_case': 'EXIST2024'}
{'id': 500301, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500302, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500303, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500304, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500305, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500306, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500307, 'value': 'DIRECT', 'test_case': 'EXIST2024'}
{'id': 500308, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500309, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500310, 'value': 'DIRECT', 'test_case': 'EXIST2024'}
{'id': 500311, 'value': 'DIRECT', 'test_case': 'EXIST2024'}
{'id': 500312, 'value': 'DIRECT', 'test_case': 'EXIST2024'}
{'id': 500313, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500314, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500315, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500316, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500317, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500318, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500319, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500320, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500321, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500322, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500323, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500324, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500325, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500326, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500327, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500328, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500329, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500330, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500331, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500332, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500333, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500334, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500335, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500336, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500337, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500338, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500339, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500340, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500341, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500342, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500343, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500344, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500345, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500346, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500347, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500348, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500349, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500350, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500351, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500352, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500353, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500354, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500355, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500356, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500357, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500358, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500359, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500360, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500361, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500362, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500363, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500364, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500365, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500366, 'value': 'DIRECT', 'test_case': 'EXIST2024'}
{'id': 500367, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500368, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500369, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500370, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500371, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500372, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500373, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500374, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500375, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500376, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500377, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500378, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500379, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500380, 'value': 'DIRECT', 'test_case': 'EXIST2024'}
