{'id': 500001, 'value': ['STEREOTYPING-DOMINANCE'], 'test_case': 'EXIST2024'}
{'id': 500028, 'value': ['MISOGYNY-NON-SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500029, 'value': ['OBJECTIFICATION'], 'test_case': 'EXIST2024'}
{'id': 500030, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500031, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500032, 'value': ['MISOGYNY-NON-SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500033, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500034, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500035, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500036, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500037, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500038, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500039, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500040, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500041, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500042, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500043, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500044, 'value': ['MISOGYNY-NON-SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500045, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500046, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500047, 'value': ['SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500048, 'value': ['OBJECTIFICATION'], 'test_case': 'EXIST2024'}
{'id': 500049, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500050, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500051, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500052, 'value': ['SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500053, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500054, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500055, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500056, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500057, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500058, 'value': ['STEREOTYPING-DOMINANCE'], 'test_case': 'EXIST2024'}
{'id': 500059, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500060, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500061, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500062, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500063, 'value': ['OBJECTIFICATION'], 'test_case': 'EXIST2024'}
{'id': 500064, 'value': ['STEREOTYPING-DOMINANCE'], 'test_case': 'EXIST2024'}
{'id': 500065, 'value': ['STEREOTYPING-DOMINANCE'], 'test_case': 'EXIST2024'}
{'id': 500066, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500067, 'value': ['STEREOTYPING-DOMINANCE'], 'test_case': 'EXIST2024'}
{'id': 500068, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500069, 'value': ['SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500070, 'value': ['STEREOTYPING-DOMINANCE'], 'test_case': 'EXIST2024'}
{'id': 500071, 'value': ['OBJECTIFICATION'], 'test_case': 'EXIST2024'}
{'id': 500072, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500073, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500074, 'value': ['OBJECTIFICATION'], 'test_case': 'EXIST2024'}
{'id': 500075, 'value': ['STEREOTYPING-DOMINANCE'], 'test_case': 'EXIST2024'}
{'id': 500076, 'value': ['STEREOTYPING-DOMINANCE'], 'test_case': 'EXIST2024'}
{'id': 500077, 'value': ['STEREOTYPING-DOMINANCE'], 'test_case': 'EXIST2024'}
{'id': 500078, 'value': ['SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500079, 'value': ['SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500080, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500081, 'value': ['SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500082, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500083, 'value': ['SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500084, 'value': ['SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500085, 'value': ['SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500086, 'value': ['SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500087, 'value': ['OBJECTIFICATION'], 'test_case': 'EXIST2024'}
{'id': 500088, 'value': ['SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500089, 'value': ['SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500090, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500091, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500092, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500093, 'value': ['MISOGYNY-NON-SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500094, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500095, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500096, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500097, 'value': ['SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500098, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500099, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500100, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500101, 'value': ['SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500102, 'value': ['SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500103, 'value': ['SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500104, 'value': ['SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500105, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500106, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500107, 'value': ['SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500108, 'value': ['SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500109, 'value': ['SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500110, 'value': ['SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500111, 'value': ['SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500112, 'value': ['MISOGYNY-NON-SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500113, 'value': ['SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500114, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500115, 'value': ['MISOGYNY-NON-SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500116, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500117, 'value': ['OBJECTIFICATION'], 'test_case': 'EXIST2024'}
{'id': 500118, 'value': ['OBJECTIFICATION'], 'test_case': 'EXIST2024'}
{'id': 500119, 'value': ['OBJECTIFICATION'], 'test_case': 'EXIST2024'}
{'id': 500120, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500121, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500122, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500123, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500124, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500125, 'value': ['STEREOTYPING-DOMINANCE'], 'test_case': 'EXIST2024'}
{'id': 500126, 'value': ['OBJECTIFICATION'], 'test_case': 'EXIST2024'}
{'id': 500127, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500128, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500129, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500130, 'value': ['MISOGYNY-NON-SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500131, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500132, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500133, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500134, 'value': ['MISOGYNY-NON-SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500135, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500136, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500137, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500138, 'value': ['MISOGYNY-NON-SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500139, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500140, 'value': ['OBJECTIFICATION'], 'test_case': 'EXIST2024'}
{'id': 500141, 'value': ['STEREOTYPING-DOMINANCE'], 'test_case': 'EXIST2024'}
{'id': 500142, 'value': ['OBJECTIFICATION'], 'test_case': 'EXIST2024'}
{'id': 500143, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500144, 'value': ['OBJECTIFICATION'], 'test_case': 'EXIST2024'}
{'id': 500145, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500146, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500147, 'value': ['MISOGYNY-NON-SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500148, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500149, 'value': ['MISOGYNY-NON-SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500150, 'value': ['STEREOTYPING-DOMINANCE'], 'test_case': 'EXIST2024'}
{'id': 500151, 'value': ['MISOGYNY-NON-SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500152, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500153, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500154, 'value': ['OBJECTIFICATION'], 'test_case': 'EXIST2024'}
{'id': 500155, 'value': ['MISOGYNY-NON-SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500156, 'value': ['OBJECTIFICATION'], 'test_case': 'EXIST2024'}
{'id': 500157, 'value': ['MISOGYNY-NON-SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500158, 'value': ['SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500159, 'value': ['SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500160, 'value': ['SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500161, 'value': ['MISOGYNY-NON-SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500162, 'value': ['SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500163, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500164, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500165, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500166, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500167, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500168, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500169, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500170, 'value': ['OBJECTIFICATION'], 'test_case': 'EXIST2024'}
{'id': 500171, 'value': ['OBJECTIFICATION'], 'test_case': 'EXIST2024'}
{'id': 500172, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500173, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500174, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500175, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500176, 'value': ['STEREOTYPING-DOMINANCE'], 'test_case': 'EXIST2024'}
{'id': 500177, 'value': ['MISOGYNY-NON-SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500178, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500179, 'value': ['OBJECTIFICATION'], 'test_case': 'EXIST2024'}
{'id': 500180, 'value': ['SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500181, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500182, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500183, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500184, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500185, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500186, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500187, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500188, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500189, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500190, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500191, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500192, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500193, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500194, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500195, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500196, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500197, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500198, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500199, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500200, 'value': ['MISOGYNY-NON-SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500201, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500202, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500203, 'value': ['OBJECTIFICATION'], 'test_case': 'EXIST2024'}
{'id': 500204, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500205, 'value': ['OBJECTIFICATION'], 'test_case': 'EXIST2024'}
{'id': 500206, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500207, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500208, 'value': ['OBJECTIFICATION'], 'test_case': 'EXIST2024'}
{'id': 500209, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500210, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500211, 'value': ['MISOGYNY-NON-SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500212, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500213, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500214, 'value': ['MISOGYNY-NON-SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500215, 'value': ['MISOGYNY-NON-SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500216, 'value': ['STEREOTYPING-DOMINANCE'], 'test_case': 'EXIST2024'}
{'id': 500217, 'value': ['STEREOTYPING-DOMINANCE'], 'test_case': 'EXIST2024'}
{'id': 500218, 'value': ['STEREOTYPING-DOMINANCE'], 'test_case': 'EXIST2024'}
{'id': 500219, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500220, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500221, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500222, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500223, 'value': ['OBJECTIFICATION'], 'test_case': 'EXIST2024'}
{'id': 500224, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500225, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500226, 'value': ['OBJECTIFICATION'], 'test_case': 'EXIST2024'}
{'id': 500227, 'value': ['STEREOTYPING-DOMINANCE'], 'test_case': 'EXIST2024'}
{'id': 500228, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500229, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500230, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500231, 'value': ['SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500232, 'value': ['MISOGYNY-NON-SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500233, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500234, 'value': ['SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500235, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500236, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500237, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500238, 'value': ['MISOGYNY-NON-SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500239, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500240, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500241, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500242, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500243, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500244, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500245, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500246, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500247, 'value': ['STEREOTYPING-DOMINANCE'], 'test_case': 'EXIST2024'}
{'id': 500248, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500249, 'value': ['STEREOTYPING-DOMINANCE'], 'test_case': 'EXIST2024'}
{'id': 500250, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500251, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500252, 'value': ['STEREOTYPING-DOMINANCE'], 'test_case': 'EXIST2024'}
{'id': 500253, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500254, 'value': ['MISOGYNY-NON-SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500255, 'value': ['STEREOTYPING-DOMINANCE'], 'test_case': 'EXIST2024'}
{'id': 500256, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500257, 'value': ['SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500258, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500259, 'value': ['STEREOTYPING-DOMINANCE'], 'test_case': 'EXIST2024'}
{'id': 500260, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500261, 'value': ['STEREOTYPING-DOMINANCE'], 'test_case': 'EXIST2024'}
{'id': 500262, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500263, 'value': ['OBJECTIFICATION'], 'test_case': 'EXIST2024'}
{'id': 500264, 'value': ['STEREOTYPING-DOMINANCE'], 'test_case': 'EXIST2024'}
{'id': 500265, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500266, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500267, 'value': ['STEREOTYPING-DOMINANCE'], 'test_case': 'EXIST2024'}
{'id': 500268, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500269, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500270, 'value': ['STEREOTYPING-DOMINANCE'], 'test_case': 'EXIST2024'}
{'id': 500271, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500272, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500273, 'value': ['STEREOTYPING-DOMINANCE'], 'test_case': 'EXIST2024'}
{'id': 500274, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500275, 'value': ['MISOGYNY-NON-SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500276, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500277, 'value': ['MISOGYNY-NON-SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500278, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500279, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500280, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500281, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500282, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500283, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500284, 'value': ['OBJECTIFICATION'], 'test_case': 'EXIST2024'}
{'id': 500285, 'value': ['OBJECTIFICATION'], 'test_case': 'EXIST2024'}
{'id': 500286, 'value': ['OBJECTIFICATION'], 'test_case': 'EXIST2024'}
{'id': 500287, 'value': ['OBJECTIFICATION'], 'test_case': 'EXIST2024'}
{'id': 500288, 'value': ['OBJECTIFICATION'], 'test_case': 'EXIST2024'}
{'id': 500289, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500290, 'value': ['STEREOTYPING-DOMINANCE'], 'test_case': 'EXIST2024'}
{'id': 500291, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500292, 'value': ['OBJECTIFICATION'], 'test_case': 'EXIST2024'}
{'id': 500293, 'value': ['STEREOTYPING-DOMINANCE'], 'test_case': 'EXIST2024'}
{'id': 500294, 'value': ['SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500295, 'value': ['MISOGYNY-NON-SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500296, 'value': ['STEREOTYPING-DOMINANCE'], 'test_case': 'EXIST2024'}
{'id': 500297, 'value': ['MISOGYNY-NON-SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500298, 'value': ['STEREOTYPING-DOMINANCE'], 'test_case': 'EXIST2024'}
{'id': 500299, 'value': ['SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500300, 'value': ['OBJECTIFICATION'], 'test_case': 'EXIST2024'}
{'id': 500301, 'value': ['SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500302, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500303, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500304, 'value': ['SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500305, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500306, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500307, 'value': ['MISOGYNY-NON-SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500308, 'value': ['STEREOTYPING-DOMINANCE'], 'test_case': 'EXIST2024'}
{'id': 500309, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500310, 'value': ['STEREOTYPING-DOMINANCE'], 'test_case': 'EXIST2024'}
{'id': 500311, 'value': ['STEREOTYPING-DOMINANCE'], 'test_case': 'EXIST2024'}
{'id': 500312, 'value': ['STEREOTYPING-DOMINANCE'], 'test_case': 'EXIST2024'}
{'id': 500313, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500314, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500315, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500316, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
